"sample_id","device_timestamp_ns","x_mG","y_mG","z_mG"
"1240","599616094407568640","-370","-148","32"
"1241","599616094412444672","-441","-143","5"
"1242","599616094417320832","-490","-109","-10"
"1243","599616094422196864","-508","-82","-20"
"1244","599616094427073024","-530","-50","-26"
"1245","599616094431949056","-539","-26","-32"
"1246","599616094436825216","-526","1","-38"
"1247","599616094441701376","-500","55","-35"
"1248","599616094446577408","-470","94","-29"
"1249","599616094451453568","-401","134","-22"
"1250","599616094456329600","-309","175","-13"
"1251","599616094461205760","-228","192","1"
"1252","599616094466081792","-143","196","18"
"1253","599616094470957952","-69","202","28"
"1254","599616094475833984","-13","192","36"
"1255","599616094480710144","5","193","20"
"1256","599616094485586176","16","182","7"
"1257","599616094490462336","45","166","8"
"1258","599616094495338368","80","127","50"
"1259","599616094500214528","84","94","95"
"1260","599616094505090592","28","84","129"
"1261","599616094509968384","-32","74","202"
"1262","599616094514846208","-150","82","288"
"1263","599616094519724032","-292","120","395"
"1264","599616094524601728","-489","197","460"
"1265","599616094529479552","-818","278","520"
"1266","599616094534357376","-1378","435","686"
"1267","599616094539235200","-2372","828","957"
"1268","599616094544112896","-4565","1605","1331"
"1269","599616094548990720","-7892","1979","1377"
"1270","599616094553868544","-7814","1172","-3254"
"1271","599616094558746368","-4609","713","-1441"
"1272","599616094563624064","-2250","7","223"
"1273","599616094568501888","-2336","-432","943"
"1274","599616094573379712","-3723","-500","475"
"1275","599616094578257536","-5157","-107","-625"
"1276","599616094583135232","-5263","326","-560"
"1277","599616094588013056","-4155","429","188"
"1278","599616094592890880","-3512","360","405"
"1279","599616094597768704","-3505","390","130"
"1280","599616094602646400","-3538","461","-21"
"1281","599616094607524224","-3321","502","104"
"1282","599616094612402048","-2942","499","338"
"1283","599616094617279872","-2613","463","457"
"1284","599616094622157568","-2328","423","463"
"1285","599616094627035392","-2048","349","464"
"1286","599616094631913216","-1819","256","467"
"1287","599616094636791040","-1619","185","440"
"1288","599616094641668864","-1483","88","350"
"1289","599616094646546560","-1338","12","239"
"1290","599616094651424384","-1204","-30","155"
"1291","599616094656302208","-1072","-61","86"
"1292","599616094661180032","-973","-91","33"
"1293","599616094666057728","-872","-115","5"
"1294","599616094670935552","-732","-111","-22"
"1295","599616094675813376","-589","-87","-59"
"1296","599616094680691148","-457","-66","-103"
"1297","599616094685569024","-334","-44","-125"
"1298","599616094690446848","-231","-22","-125"
"1299","599616094695324672","-121","-1","-98"
"1300","599616094700202368","-10","38","-87"
"1301","599616094705080192","114","47","-67"
"1302","599616094709958016","258","71","-60"
"1303","599616094714835840","408","83","-66"
"1304","599616094719713536","535","85","-63"
"1305","599616094724591360","685","90","-64"
"1306","599616094729469184","777","96","-55"
"1307","599616094734347008","870","107","-61"
"1308","599616094739224704","939","138","-65"
"1309","599616094744102528","986","158","-63"
"1310","599616094748980352","992","162","-84"
"1311","599616094753858176","992","143","-109"
"1312","599616094758735872","956","108","-112"
"1313","599616094763613696","825","89","-96"
"1314","599616094768491520","685","84","-69"
"1315","599616094773369344","550","58","-39"
"1316","599616094778247040","467","22","-18"
"1317","599616094783124864","368","-11","0"
"1318","599616094788002688","267","-32","33"
"1319","599616094792880512","203","-58","58"
"1320","599616094797758336","112","-100","73"
"1321","599616094802636032","30","-141","83"
"1322","599616094807513856","-27","-157","90"
"1323","599616094812391680","-117","-174","81"
"1324","599616094817269504","-222","-186","66"
"1325","599616094822147200","-314","-171","39"
"1326","599616094827025024","-404","-154","12"
"1327","599616094831902848","-476","-136","-11"
"1328","599616094836780672","-500","-87","-20"
"1329","599616094841658368","-530","-46","-24"
"1330","599616094846536192","-547","-17","-28"
"1331","599616094851414016","-548","26","-31"
"1332","599616094856291720","-534","79","-28"
"1333","599616094861170304","-502","109","-29"
"1334","599616094866048896","-471","159","-18"
"1335","599616094870927616","-395","168","-12"
"1336","599616094875806208","-296","170","-11"
"1337","599616094880684928","-217","165","-18"
"1338","599616094885563520","-122","157","-27"
"1339","599616094890442112","-49","141","-43"
"1340","599616094895320832","-3","118","-57"
"1341","599616094900199424","18","102","-68"
"1342","599616094905078016","41","92","-86"
"1343","599616094909956736","50","89","-118"
"1344","599616094914835328","48","73","-146"
"1345","599616094919714048","29","53","-151"
"1346","599616094924592640","4","45","-88"
"1347","599616094929471232","-31","73","24"
"1348","599616094934349952","-127","120","170"
"1349","599616094939228544","-305","192","312"
"1350","599616094944107264","-591","250","468"
"1351","599616094948985856","-1058","364","625"
"1352","599616094953864448","-1881","611","870"
"1353","599616094958743168","-3513","1365","1429"
"1354","599616094963621760","-7230","2667","2323"
"1355","599616094968500480","-7993","1562","-1469"
"1356","599616094973379072","-6538","1043","-2854"
"1357","599616094978257664","-3230","363","-371"
"1358","599616094983136384","-2307","-537","557"
"1359","599616094988014976","-3078","-722","740"
"1360","599616094992893568","-4678","-425","27"
"1361","599616094997772288","-5548","102","-396"
"1362","599616095002650880","-4754","430","-6"
